threads,repeat,histogram,bin,bin_label,content,exact_error,approx_error,rowwise_error,error_difference,relative_difference_pct,rowwise_relative_difference_pct
16,1,nMuon,2,1.0,27232.33333333359,158.3032330062986,158.29208039585848,55.00740690866382,-0.011152610440120725,-0.007045093286051074,-65.25187397374559
16,1,nMuon,3,2.0,36635.55555555572,177.9122408157957,177.89051980652576,63.80138935753634,-0.02172100926995313,-0.012208833507099115,-64.13884223762089
16,1,nMuon,4,3.0,4460.555555555592,35.62787783481268,35.626145205764466,22.26246356427328,-0.0017326290482131412,-0.0048631272854593455,-37.5139219139227
16,1,nMuon,5,4.0,362.7777777777769,7.909207011803123,7.907645932736934,6.348908723182968,-0.001561079066188853,-0.01973749155710358,-19.72761980172828
16,1,nMuon,6,overflow,24.111111111111114,1.9594657876164885,1.9594657876164885,1.6367688736284707,0.0,0.0,-16.468616907088197
16,1,nGenJet,0,underflow,0.0,0.0,0.0,0.0,0.0,,
16,1,nGenJet,1,0.0,407.0,20.174241001832016,20.161998235281793,6.724747000610684,-0.012242766550222939,-0.06068514076496001,-66.6666666666666
16,1,nGenJet,2,1.0,669.0,25.865034312755125,25.865034312755125,8.621678104251725,0.0,0.0,-66.6666666666666
16,1,nGenJet,3,2.0,21490.0,146.59467930317254,146.58137250494042,48.864893101057554,-0.013306798232122219,-0.009077272309865325,-66.66666666666664
16,1,nGenJet,4,3.0,18480.0,135.94116374373144,135.92735895904195,45.31372124790855,-0.01380478468948354,-0.010154970216014192,-66.66666666666808
16,1,nGenJet,5,4.0,14582.0,120.75595223424807,120.74306973441121,40.25198407808114,-0.012882499836862848,-0.010668211047581977,-66.66666666666794
16,1,nGenJet,6,overflow,23237.0,152.43687217992897,152.41775762523923,50.81229072664444,-0.019114554689735996,-0.012539324912919092,-66.66666666666572
16,1,selected_nMuon,0,underflow,0.0,0.0,0.0,0.0,0.0,,
16,1,selected_nMuon,1,0.0,1697.555555555562,30.684777260973505,30.68196075953073,13.733800783126778,-0.0028165014427727897,-0.00917882316309182,-55.24229924720966
16,1,selected_nMuon,2,1.0,10569.111111111019,83.37969080961027,83.36843705081877,34.26872742038106,-0.011253758791497148,-0.013497002306228634,-58.900390385674974
